id,nombre
"1","Ancón"
"2","Puente Piedra"
"3","Santa Rosa"
"4","Carabayllo"
"5","Comas"
"6","Los Olivos"
"7","Independencia"
"8","San Martin de Porres"
"9","San Juan de Lurigancho"
"10","Santa Anita"
"11","Cieneguilla"
"12","Ate Vitarte"
"13","La Molina"
"14","Chaclacayo"
"15","Lurigancho"
"16","El Agustino"
"17","San Juan de Miraflores"
"18","Villa Maria del Triunfo"
"19","Villa el Salvador"
"20","Lúrin y Pachacamac"
"21","Cercado"
"22","San Luis"
"23","Breña"
"24","La Victoria"
"25","Rimac"
"26","Lince"
"27","San Miguel"
"28","Jesús María"
"29","Magdalena"
"30","Pueblo Libre"
"31","Barranco"
"32","Miraflores"
"33","Surco"
"34","San Borja"
"35","Surquillo"
"36","San Isidro"
"37","Chorrillos"
"38","Punta Hermosa"
"39","Pucusana"
"40","Punta Negra"
"41","San Bartolo"
"42","Santa María"
